account_id,npi,month,territory,district,region,specialty,payer_channel,trx_units,trx_dollars,trx_normalized,nrx,nbrx,market_trx,market_nrx,il17_competitor_a_trx,il17_competitor_b_trx,advanced_other_trx,il17_class_trx,advanced_therapy_trx,calls,call_plan,samples,speaker_attendance,new_writers,speaker_launch_active,formulary_win_active,competitor_launch_active
HCP0019,9999000019,2024-07,N-PCP-01,North District 1,North,Primary Care,Medicaid,23.074025,1665.02162,21.920323,5.422396,4.066797,268.302612,60.368088,37.750914,29.661432,177.816241,90.486371,268.302612,5,5.4,19,0,,0,0,0
HCP0020,9999000020,2024-07,N-PCP-02,North District 2,North,Primary Care,Cash,0.0,0.0,0.0,0.0,0.0,257.569312,57.953095,48.645247,38.221266,170.702799,86.866513,257.569312,3,5.4,3,0,,0,0,0
HCP0021,9999000021,2024-07,N-CAR-01,North District 1,North,Cardiology,Commercial,33.575144,4568.905639,33.575144,5.539899,3.933328,299.778075,55.458944,40.887065,32.125551,193.190315,106.58776,299.778075,5,7.44,11,0,,0,0,0
HCP0022,9999000022,2024-07,N-CAR-02,North District 2,North,Cardiology,Medicare Part D,33.403691,4040.510471,32.735617,5.511609,3.747894,298.247242,55.17574,40.678273,31.9615,192.203778,106.043464,298.247242,8,7.44,25,0,,0,0,0
HCP0023,9999000023,2024-07,N-CAR-01,North District 1,North,Cardiology,Medicaid,33.466035,3457.710746,31.792733,5.521896,4.141422,298.803885,55.278719,40.754194,32.021152,192.562504,106.241381,298.803885,3,7.44,3,0,,0,0,0
HCP0024,9999000024,2024-07,N-CAR-02,North District 2,North,Cardiology,Cash,31.539628,3973.993118,32.17042,5.204039,3.330585,281.603821,52.096707,38.408258,30.177917,181.478018,100.125803,281.603821,5,7.44,15,0,,0,0,0
HCP0025,9999000025,2024-07,N-CAR-01,North District 1,North,Cardiology,Commercial,17.669598,2404.478874,17.669598,2.915484,2.069993,157.764267,29.186389,21.517644,16.90672,101.670305,56.093962,157.764267,7,4.04,19,0,,0,0,0
HCP0026,9999000026,2024-07,N-CAR-02,North District 2,North,Cardiology,Medicare Part D,25.708537,3109.704678,25.194367,4.241909,2.884498,229.540511,42.464995,31.307285,24.598581,147.926108,81.614403,229.540511,4,6.08,3,0,,0,0,0
HCP0027,9999000027,2024-07,N-CAR-01,North District 1,North,Cardiology,Medicaid,27.688321,2860.757277,26.303905,4.568573,3.42643,247.217147,45.735172,33.718221,26.492888,159.317717,87.89943,247.217147,6,6.76,15,0,,0,0,0
HCP0028,9999000028,2024-07,N-CAR-02,North District 2,North,Cardiology,Cash,22.121476,2787.306012,22.563906,3.650044,2.336028,197.51318,36.539939,26.939042,21.16639,127.286272,70.226908,197.51318,1,5.4,0,1,,0,0,0
HCP0029,9999000029,2024-07,N-CAR-01,North District 1,North,Cardiology,Commercial,16.217229,2206.840587,16.217229,2.675843,1.899848,144.796692,26.787388,19.748982,15.517057,93.313424,51.483268,144.796692,5,4.04,4,0,,0,0,0
HCP0030,9999000030,2024-07,N-CAR-02,North District 2,North,Cardiology,Medicare Part D,38.410437,4646.12648,37.642228,6.337722,4.309651,342.950332,63.445811,46.775377,36.752082,221.012436,121.937896,342.950332,6,8.12,14,0,,0,0,0
HCP0031,9999000031,2024-07,N-CAR-01,North District 1,North,Cardiology,Medicaid,41.555783,4293.543474,39.477994,6.856704,5.142528,371.033775,68.641248,50.605709,39.761628,239.110655,131.92312,371.033775,9,8.8,18,1,,0,0,0
HCP0032,9999000032,2024-07,N-CAR-02,North District 2,North,Cardiology,Cash,25.787015,3249.163845,26.302755,4.254857,2.723109,230.241203,42.594622,31.402853,24.673671,148.377664,81.863539,230.241203,5,6.08,16,0,,0,0,0
HCP0033,9999000033,2024-07,N-CAR-01,North District 1,North,Cardiology,Commercial,28.584628,3889.796193,28.584628,4.716464,3.348689,255.219894,47.21568,34.809725,27.350498,164.475043,90.744851,255.219894,12,6.76,21,0,,0,0,0
HCP0034,9999000034,2024-07,N-CAR-02,North District 2,North,Cardiology,Medicare Part D,19.983673,2417.225102,19.584,3.297306,2.242168,178.425653,33.008746,24.335673,19.120886,114.985421,63.440232,178.425653,7,4.72,14,1,,0,0,0
HCP0035,9999000035,2024-07,N-CAR-01,North District 1,North,Cardiology,Medicaid,37.132248,3836.503903,35.275636,6.126821,4.595116,331.537931,61.334517,45.218827,35.529078,213.657778,117.880153,331.537931,5,8.12,8,0,,0,0,0
HCP0036,9999000036,2024-07,N-CAR-02,North District 2,North,Cardiology,Cash,39.962806,5035.313562,40.762062,6.593863,4.220072,356.810768,66.009992,48.665817,38.237428,229.944717,126.866051,356.810768,7,8.12,17,0,,0,0,0
HCP0037,9999000037,2024-07,N-CAR-01,North District 1,North,Cardiology,Commercial,32.648856,4442.856342,32.648856,5.387061,3.824813,291.507644,53.928914,39.759051,31.239255,187.860482,103.647162,291.507644,9,7.44,17,0,,0,0,0
HCP0038,9999000038,2024-07,N-CAR-02,North District 2,North,Cardiology,Medicare Part D,27.330767,3305.92954,26.784151,4.509577,3.066512,244.024703,45.14457,33.2828,26.150772,157.260364,86.764339,244.024703,6,6.76,14,0,,0,0,0
HCP0039,9999000039,2024-07,N-CAR-01,North District 1,North,Cardiology,Medicaid,26.778633,2766.768315,25.439701,4.418474,3.313856,239.094935,44.232563,32.610424,25.622476,154.083402,85.011533,239.094935,6,6.08,19,0,,0,0,0
HCP0040,9999000040,2024-07,N-CAR-02,North District 2,North,Cardiology,Cash,19.514264,2458.797233,19.904549,3.219854,2.060706,174.234498,32.233382,23.764037,18.671743,112.284454,61.950044,174.234498,4,4.72,13,0,,0,0,0
HCP0041,9999000041,2024-07,N-END-01,North District 1,North,Endocrinology,Commercial,20.397049,2379.111798,20.397049,4.181395,2.96879,201.95098,41.399951,28.656065,22.515479,130.382387,71.568593,201.95098,2,4.72,5,0,,0,0,0
HCP0042,9999000042,2024-07,N-END-02,North District 2,North,Endocrinology,Medicare Part D,29.266598,3034.360846,28.681266,5.999653,4.079764,289.768293,59.4025,41.117002,32.306216,187.078477,102.689816,289.768293,4,7.44,11,0,,0,0,0
HCP0043,9999000043,2024-07,N-END-01,North District 1,North,Endocrinology,Medicaid,31.39377,2780.232271,29.824081,6.435723,4.826792,310.829406,63.720028,44.105493,34.654316,200.675827,110.153579,310.829406,8,7.44,9,0,,0,0,0
HCP0044,9999000044,2024-07,N-END-02,North District 2,North,Endocrinology,Cash,20.757544,2241.814794,21.172695,4.255297,2.72339,205.520241,42.131649,29.162529,22.913416,132.686752,72.833489,205.520241,4,4.72,10,0,,0,0,0
HCP0045,9999000045,2024-07,N-END-01,North District 1,North,Endocrinology,Commercial,12.840138,1497.673686,12.840138,2.632228,1.868882,127.130078,26.061666,18.039267,14.17371,82.076963,45.053115,127.130078,5,2.68,18,0,,0,0,0
HCP0046,9999000046,2024-07,N-END-02,North District 2,North,Endocrinology,Medicare Part D,14.748439,1529.118193,14.453471,3.02343,2.055932,146.024152,29.934951,20.720264,16.280207,94.275242,51.74891,146.024152,5,3.36,12,0,,0,0,0
HCP0047,9999000047,2024-07,N-END-01,North District 1,North,Endocrinology,Medicaid,28.379792,2513.314348,26.960802,5.817857,4.363393,280.988037,57.602547,39.871118,31.327307,181.40982,99.578217,280.988037,5,6.76,8,0,,0,0,0
HCP0048,9999000048,2024-07,N-END-02,North District 2,North,Endocrinology,Cash,0.0,0.0,0.0,0.0,0.0,209.075643,42.860507,41.492345,32.601128,134.98217,74.093473,209.075643,3,5.4,8,0,,0,0,0
HCP0049,9999000049,2024-07,N-END-01,North District 1,North,Endocrinology,Commercial,32.266161,3763.525042,32.266161,6.614563,4.69634,319.466942,65.490723,45.331126,35.617313,206.252342,113.2146,319.466942,6,7.44,18,0,,0,0,0
HCP0050,9999000050,2024-07,N-END-02,North District 2,North,Endocrinology,Medicare Part D,22.549138,2337.894658,22.098156,4.622573,3.14335,223.258794,45.768053,31.679561,24.891084,144.139011,79.119783,223.258794,7,5.4,18,0,,0,0,0
HCP0051,9999000051,2024-07,N-END-01,North District 1,North,Endocrinology,Medicaid,21.432974,1898.104136,20.361325,4.39376,3.29532,212.20766,43.50257,30.111448,23.658995,137.004243,75.203417,212.20766,5,5.4,12,0,,0,0,0
HCP0052,9999000052,2024-07,N-END-02,North District 2,North,Endocrinology,Cash,12.646511,1365.823183,12.899441,2.592535,1.659222,125.21298,25.668661,17.767239,13.959973,80.839257,44.373723,125.21298,3,2.68,6,1,,0,0,0
HCP0053,9999000053,2024-07,N-END-01,North District 1,North,Endocrinology,Commercial,26.685028,3112.541647,26.685028,5.470431,3.884006,264.208196,54.16268,37.490123,29.456525,170.57652,93.631676,264.208196,5,6.08,7,0,,0,0,0
HCP0054,9999000054,2024-07,N-END-02,North District 2,North,Endocrinology,Medicare Part D,14.073043,1459.093121,13.791582,2.884974,1.961782,139.337062,28.564098,19.771391,15.534665,89.957963,49.379099,139.337062,4,3.36,13,0,,0,0,0
HCP0055,9999000055,2024-07,N-END-01,North District 1,North,Endocrinology,Medicaid,19.936573,1765.582923,18.939745,4.086998,3.065248,197.391814,40.465322,28.009137,22.007179,127.438925,69.952889,197.391814,8,4.72,17,0,,0,0,0
HCP0056,9999000056,2024-07,N-END-02,North District 2,North,Endocrinology,Cash,24.58329,2654.995308,25.074956,5.039574,3.225328,243.39891,49.896777,34.537366,27.136502,157.141752,86.257158,243.39891,4,6.08,1,0,,0,0,0
HCP0057,9999000057,2024-07,N-END-01,North District 1,North,Endocrinology,Commercial,22.26037,2596.449604,22.26037,4.563376,3.239997,220.399707,45.18194,31.273868,24.572325,142.293144,78.106563,220.399707,4,5.4,10,0,,0,0,0
HCP0058,9999000058,2024-07,N-END-02,North District 2,North,Endocrinology,Medicare Part D,26.098762,2705.919604,25.576786,5.350246,3.638167,258.403581,52.972734,36.666471,28.80937,166.828978,91.574603,258.403581,5,6.08,5,0,,0,0,0
HCP0059,9999000059,2024-07,N-END-01,North District 1,North,Endocrinology,Medicaid,40.864201,3618.933655,38.820991,8.377161,6.282871,404.596051,82.94219,57.410618,45.108343,261.212889,143.383162,404.596051,11,8.8,26,0,,0,0,0
HCP0060,9999000060,2024-07,N-END-02,North District 2,North,Endocrinology,Cash,27.920861,3015.453021,28.479279,5.723777,3.663217,276.444171,56.671055,39.226361,30.820712,178.476237,97.967934,276.444171,5,6.76,12,0,,0,0,0
HCP0061,9999000061,2024-07,S-PCP-01,South District 1,South,Primary Care,Medicare Part D,10.171686,859.304035,9.968252,2.390346,1.625435,118.275419,26.611969,16.641676,13.075603,78.386454,39.888965,118.275419,4,2.68,6,0,,0,0,0
HCP0062,9999000062,2024-07,S-PCP-02,South District 2,South,Primary Care,Medicaid,11.237305,810.883958,10.67544,2.640767,1.980575,130.666342,29.399927,18.385113,14.445446,86.598478,44.067864,130.666342,4,2.68,7,0,,0,0,0
HCP0063,9999000063,2024-07,S-PCP-01,South District 1,South,Primary Care,Cash,9.470647,833.416918,9.66006,2.225602,1.424385,110.123801,24.777855,15.494721,12.174424,72.984009,37.139792,110.123801,2,2.68,4,0,,0,0,0
HCP0064,9999000064,2024-07,S-PCP-02,South District 2,South,Primary Care,Commercial,0.0,0.0,0.0,0.0,0.0,170.767213,38.422623,32.251565,25.340515,113.175133,57.59208,170.767213,5,4.04,6,0,,0,0,0
HCP0065,9999000065,2024-07,S-PCP-01,South District 1,South,Primary Care,Medicare Part D,18.001826,1520.794268,17.64179,4.230429,2.876692,209.323559,47.097801,29.452399,23.141171,138.728163,70.595396,209.323559,6,4.72,12,1,,0,0,0
HCP0066,9999000066,2024-07,S-PCP-02,South District 2,South,Primary Care,Medicaid,34.127233,2462.621113,32.420871,8.0199,6.014925,396.828287,89.286365,55.834829,43.870223,262.996002,133.832285,396.828287,9,8.12,17,0,,0,0,0
HCP0067,9999000067,2024-07,S-PCP-01,South District 1,South,Primary Care,Cash,18.705424,1646.077295,19.079532,4.395775,2.813296,217.504928,48.938609,30.60354,24.045639,144.150325,73.354603,217.504928,9,5.4,19,0,,0,0,0
HCP0068,9999000068,2024-07,S-PCP-02,South District 2,South,Primary Care,Commercial,7.10757,675.503413,7.10757,1.670279,1.185898,82.646158,18.595386,11.628541,9.136711,54.773336,27.872822,82.646158,3,2.68,5,0,,0,0,0
HCP0069,9999000069,2024-07,S-PCP-01,South District 1,South,Primary Care,Medicare Part D,11.733175,991.218648,11.498512,2.757296,1.874961,136.432271,30.697261,19.196395,15.082882,90.419819,46.012452,136.432271,6,3.36,21,1,,0,0,0
HCP0070,9999000070,2024-07,S-PCP-02,South District 2,South,Primary Care,Medicaid,12.663719,913.813984,12.030533,2.975974,2.231981,147.25255,33.131824,20.718838,16.279087,97.590906,49.661644,147.25255,0,3.36,0,0,,0,0,0
HCP0071,9999000071,2024-07,S-PCP-01,South District 1,South,Primary Care,Cash,0.0,0.0,0.0,0.0,0.0,278.61152,62.687592,52.619337,41.343764,184.648419,93.963101,278.61152,6,6.76,11,0,,0,0,0
HCP0072,9999000072,2024-07,S-PCP-02,South District 2,South,Primary Care,Commercial,15.045165,1429.892518,15.045165,3.535614,2.510286,174.943784,39.362351,24.615071,19.340413,115.943135,59.000649,174.943784,3,4.04,9,0,,0,0,0
HCP0073,9999000073,2024-07,S-PCP-01,South District 1,South,Primary Care,Medicare Part D,8.456695,714.421584,8.287561,1.987323,1.35138,98.333661,22.125074,13.835816,10.870998,65.170152,33.163509,98.333661,4,2.68,8,0,,0,0,0
HCP0074,9999000074,2024-07,S-PCP-02,South District 2,South,Primary Care,Medicaid,0.0,0.0,0.0,0.0,0.0,182.054947,40.962363,34.383397,27.015526,120.656024,61.398923,182.054947,4,4.04,6,0,,0,0,0
HCP0075,9999000075,2024-07,S-PCP-01,South District 1,South,Primary Care,Cash,0.0,0.0,0.0,0.0,0.0,269.936551,60.735724,50.980958,40.056467,178.899126,91.037425,269.936551,5,6.08,12,0,,0,0,0
HCP0076,9999000076,2024-07,S-PCP-02,South District 2,South,Primary Care,Commercial,10.186459,968.121083,10.186459,2.393818,1.699611,118.447199,26.65062,16.665846,13.094593,78.500301,39.946898,118.447199,2,2.68,5,1,,0,0,0
HCP0077,9999000077,2024-07,S-PCP-01,South District 1,South,Primary Care,Medicare Part D,12.130853,1024.814455,11.888236,2.85075,1.93851,141.05643,31.737697,19.847027,15.594093,93.484457,47.571973,141.05643,3,3.36,7,1,,0,0,0
HCP0078,9999000078,2024-07,S-PCP-02,South District 2,South,Primary Care,Medicaid,0.0,0.0,0.0,0.0,0.0,135.995118,30.598901,25.684411,20.180609,90.130098,45.86502,135.995118,3,3.36,15,0,,0,0,0
HCP0079,9999000079,2024-07,S-PCP-01,South District 1,South,Primary Care,Cash,22.767537,2003.543215,23.222887,5.350371,3.424237,264.738797,59.566229,37.249475,29.267445,175.45434,89.284457,264.738797,2,6.08,4,0,,0,0,0
HCP0080,9999000080,2024-07,S-PCP-02,South District 2,South,Primary Care,Commercial,15.056587,1430.977985,15.056587,3.538298,2.512191,175.076587,39.392232,24.633756,19.355094,116.03115,59.045437,175.076587,4,4.04,4,0,,0,0,0
HCP0081,9999000081,2024-07,S-CAR-01,South District 1,South,Cardiology,Medicare Part D,21.25519,2571.027785,20.830086,3.507106,2.384832,189.778483,35.109019,25.884098,20.337506,122.301689,67.476794,189.778483,10,6.08,18,1,,0,0,0
HCP0082,9999000082,2024-07,S-CAR-02,South District 2,South,Cardiology,Medicaid,22.931848,2369.318576,21.785256,3.783755,2.837816,204.748646,37.8785,27.925895,21.941775,131.949128,72.799518,204.748646,7,6.08,18,1,,0,0,0
HCP0083,9999000083,2024-07,S-CAR-01,South District 1,South,Cardiology,Cash,16.773565,2113.469217,17.109037,2.767638,1.771288,149.763975,27.706335,20.426475,16.049373,96.514562,53.249413,149.763975,3,4.04,7,0,,0,0,0
HCP0084,9999000084,2024-07,S-CAR-02,South District 2,South,Cardiology,Commercial,49.673674,6759.59362,49.673674,8.196156,5.819271,443.51495,82.050266,60.491497,47.529033,285.820746,157.694204,443.51495,8,8.8,17,0,,0,0,0
HCP0085,9999000085,2024-07,S-CAR-01,South District 1,South,Cardiology,Medicare Part D,30.387592,3675.683099,29.77984,5.013953,3.409488,271.317784,50.19379,37.005334,29.07562,174.849238,96.468546,271.317784,11,8.12,28,0,,0,0,0
HCP0086,9999000086,2024-07,S-CAR-02,South District 2,South,Cardiology,Medicaid,29.629953,3061.366748,28.148455,4.888942,3.666707,264.553152,48.942333,36.082698,28.350692,170.489809,94.063343,264.553152,7,7.44,13,0,,0,0,0
HCP0087,9999000087,2024-07,S-CAR-01,South District 1,South,Cardiology,Cash,41.504844,5229.610306,42.334941,6.848299,4.382911,370.578962,68.557108,50.543676,39.712889,238.817553,131.761409,370.578962,7,8.8,10,0,,0,0,0
HCP0088,9999000088,2024-07,S-CAR-02,South District 2,South,Cardiology,Commercial,48.862376,6649.192192,48.862376,8.062292,5.724227,436.271218,80.710175,59.503516,46.752763,281.152563,155.118655,436.271218,9,8.8,19,0,,0,0,0
HCP0089,9999000089,2024-07,S-CAR-01,South District 1,South,Cardiology,Medicare Part D,17.117857,2070.575996,16.7755,2.824446,1.920624,152.838009,28.275032,20.845746,16.3788,98.495606,54.342403,152.838009,3,4.72,11,1,,0,0,0
HCP0090,9999000090,2024-07,S-CAR-02,South District 2,South,Cardiology,Medicaid,51.048341,5274.31456,48.495924,8.422976,6.317232,455.788757,84.32092,62.165535,48.844349,293.730532,162.058225,455.788757,4,8.8,13,0,,0,0,0
HCP0091,9999000091,2024-07,S-CAR-01,South District 1,South,Cardiology,Cash,25.462407,3208.26327,25.971655,4.201297,2.68883,227.342919,42.05844,31.007553,24.363078,146.509881,80.833038,227.342919,6,6.76,21,0,,0,0,0
HCP0092,9999000092,2024-07,S-CAR-02,South District 2,South,Cardiology,Commercial,47.501878,6464.055624,47.501878,7.83781,5.564845,424.123915,78.462924,57.846732,45.451004,273.324301,150.799614,424.123915,9,8.8,16,0,,0,0,0
HCP0093,9999000093,2024-07,S-CAR-01,South District 1,South,Cardiology,Medicare Part D,19.402931,2346.978585,19.014873,3.201484,2.177009,173.240459,32.049485,23.628459,18.565218,111.643851,61.596608,173.240459,6,5.4,4,0,,0,0,0
HCP0094,9999000094,2024-07,S-CAR-02,South District 2,South,Cardiology,Medicaid,23.464074,2424.308111,22.29087,3.871572,2.903679,209.50066,38.757622,28.574028,22.451022,135.011536,74.489124,209.50066,5,6.08,8,0,,0,0,0
HCP0095,9999000095,2024-07,S-CAR-01,South District 1,South,Cardiology,Cash,25.618433,3227.922537,26.130801,4.227041,2.705307,228.736007,42.316161,31.197558,24.512367,147.407649,81.328358,228.736007,10,7.44,21,0,,0,0,0
HCP0096,9999000096,2024-07,S-CAR-02,South District 2,South,Cardiology,Commercial,46.537737,6332.855262,46.537737,7.678727,5.451896,415.51551,76.870369,56.672622,44.528489,267.776662,147.738848,415.51551,8,8.8,26,0,,0,0,0
HCP0097,9999000097,2024-07,S-CAR-01,South District 1,South,Cardiology,Medicare Part D,34.817397,4211.512308,34.121049,5.74487,3.906512,310.869613,57.510879,42.399852,33.314169,200.338195,110.531418,310.869613,6,8.12,19,0,,0,0,0
HCP0098,9999000098,2024-07,S-CAR-02,South District 2,South,Cardiology,Medicaid,26.759979,2764.840983,25.42198,4.415396,3.311547,238.92838,44.20175,32.587707,25.604627,153.976067,84.952313,238.92838,6,7.44,16,0,,0,0,0
HCP0099,9999000099,2024-07,S-CAR-01,South District 1,South,Cardiology,Cash,17.154688,2161.490632,17.497781,2.830523,1.811535,153.166854,28.335868,20.890597,16.414041,98.707528,54.459326,153.166854,5,4.72,8,0,,0,0,0
HCP0100,9999000100,2024-07,S-CAR-02,South District 2,South,Cardiology,Commercial,24.009594,3267.225611,24.009594,3.961583,2.812724,214.371379,39.658705,29.238351,22.97299,138.150444,76.220935,214.371379,9,6.76,18,0,,0,0,0
HCP0101,9999000101,2024-07,S-END-01,South District 1,South,Endocrinology,Medicare Part D,13.060463,1354.10881,12.799254,2.677395,1.820629,129.311515,26.508861,18.348805,14.416918,83.485329,45.826186,129.311515,2,3.36,8,0,,0,0,0
HCP0102,9999000102,2024-07,S-END-02,South District 2,South,Endocrinology,Medicaid,17.986733,1592.90507,17.087396,3.68728,2.76546,178.086465,36.507725,25.269782,19.854829,114.975121,63.111344,178.086465,3,4.72,6,0,,0,0,0
HCP0103,9999000103,2024-07,S-END-01,South District 1,South,Endocrinology,Cash,31.647741,3417.956077,32.280696,6.487787,4.152184,313.343975,64.235515,44.462301,34.934665,202.299268,111.044707,313.343975,9,8.12,16,0,,0,0,0
HCP0104,9999000104,2024-07,S-END-02,South District 2,South,Endocrinology,Commercial,35.939253,4191.954455,35.939253,7.367547,5.230958,355.834187,72.946008,50.491498,39.671891,229.731545,126.102642,355.834187,13,8.12,38,0,,0,0,0
HCP0105,9999000105,2024-07,S-END-01,South District 1,South,Endocrinology,Medicare Part D,16.595982,1720.671417,16.264062,3.402176,2.31348,164.316654,33.684914,23.315899,18.319635,106.085138,58.231516,164.316654,1,4.04,1,1,,0,0,0
HCP0106,9999000106,2024-07,S-END-02,South District 2,South,Endocrinology,Medicaid,23.706934,2099.486104,22.521588,4.859922,3.644941,234.722121,48.118035,33.306163,26.169128,151.539896,83.182225,234.722121,9,6.08,18,0,,0,0,0
HCP0107,9999000107,2024-07,S-END-01,South District 1,South,Endocrinology,Cash,14.318485,1546.396357,14.604854,2.935289,1.878585,141.767177,29.062271,20.116215,15.805598,91.526879,50.240298,141.767177,3,4.04,7,0,,0,0,0
HCP0108,9999000108,2024-07,S-END-02,South District 2,South,Endocrinology,Commercial,0.0,0.0,0.0,0.0,0.0,233.452899,47.857844,46.330161,36.40227,150.720468,82.732431,233.452899,8,6.08,20,0,,0,0,0
HCP0109,9999000109,2024-07,S-END-01,South District 1,South,Endocrinology,Medicare Part D,15.633036,1620.833126,15.320375,3.204772,2.179245,154.782531,31.730419,21.963044,17.256677,99.929774,54.852757,154.782531,2,4.04,2,0,,0,0,0
HCP0110,9999000110,2024-07,S-END-02,South District 2,South,Endocrinology,Medicaid,0.0,0.0,0.0,0.0,0.0,122.74949,25.163645,24.36039,19.140306,79.248794,43.500696,122.74949,4,3.36,12,1,,0,0,0
HCP0111,9999000111,2024-07,S-END-01,South District 1,South,Endocrinology,Cash,34.186923,3692.187631,34.870661,7.008319,4.485324,338.484381,69.389298,48.029627,37.737564,218.530267,119.954114,338.484381,3,8.12,5,1,,0,0,0
HCP0112,9999000112,2024-07,S-END-02,South District 2,South,Endocrinology,Commercial,16.861673,1966.745516,16.861673,3.456643,2.454216,166.947255,34.224187,23.689171,18.61292,107.783491,59.163764,166.947255,5,4.72,16,0,,0,0,0
HCP0113,9999000113,2024-07,S-END-01,South District 1,South,Endocrinology,Medicare Part D,20.324067,2107.199292,19.917586,4.166434,2.833175,201.228389,41.25182,28.553532,22.434918,129.915872,71.312517,201.228389,5,5.4,12,1,,0,0,0
HCP0114,9999000114,2024-07,S-END-02,South District 2,South,Endocrinology,Medicaid,17.679961,1565.737312,16.795963,3.624392,2.718294,175.049116,35.885069,24.838794,19.516195,113.014166,62.03495,175.049116,8,4.72,15,0,,0,0,0
